Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
336,Uncharacterized,8.23E-08,0,1,0,0,1,0,1,0,1,0,1
337,Uncharacterized,8.23E-08,0,1,0,0,0,1,1,1,0,0,1
338,Uncharacterized,8.23E-08,1,1,0,0,1,0,1,0,1,0,0
339,Uncharacterized,8.22E-08,1,1,0,0,1,0,0,0,1,0,1
340,Uncharacterized,8.22E-08,0,1,0,0,1,0,0,1,1,0,1
341,Uncharacterized,8.21E-08,0,1,0,0,1,0,1,1,1,0,0
342,Uncharacterized,8.20E-08,1,1,0,0,1,0,0,1,1,0,0
343,Uncharacterized,7.08E-08,0,0,1,0,0,1,1,1,0,1,1
344,Uncharacterized,6.84E-08,1,0,0,1,0,1,1,1,0,1,1
345,Uncharacterized,6.73E-08,0,0,0,0,0,0,1,1,0,0,1
346,Uncharacterized,6.56E-08,0,0,1,1,1,0,1,0,0,0,0
347,Uncharacterized,6.56E-08,0,0,1,1,1,0,0,0,0,0,1
348,Uncharacterized,6.56E-08,1,0,1,1,1,0,0,0,0,0,0
349,Uncharacterized,6.41E-08,1,1,1,1,0,1,1,1,0,1,1
350,Uncharacterized,6.30E-08,0,0,0,0,1,0,1,0,0,0,1
